City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,hovd,48.0056,91.6419,1.55,49,54,1.74,MN,1680135108
295,buka,40.8108,69.1986,16.82,62,99,2.06,UZ,1680135109
296,odda,60.0691,6.5457,4.87,90,57,3.58,NO,1680135109
297,rudnyy,52.9594,63.1206,-3.87,82,46,6.31,KZ,1680135110
298,bambous virieux,-20.3428,57.7575,26.23,86,64,6.5,MU,1680135110
299,damietta,31.4165,31.8133,13.43,58,40,7.47,EG,1680135111
300,ahipara,-35.1667,173.1667,17.28,41,100,1.55,NZ,1680135112
301,dwarka,22.2394,68.9678,24.34,83,60,3.05,IN,1680135112
302,kaeo,-35.1,173.7833,20.18,48,100,2.13,NZ,1680134969
303,am timan,11.0297,20.2827,29.92,16,18,2.63,TD,1680135113
304,iskar,43.45,24.2667,1.32,61,16,1.71,BG,1680135114
305,santa maria,-29.6842,-53.8069,22.79,85,72,0.44,BR,1680134934
306,lata,40.1629,-8.3327,11.5,94,55,1.19,PT,1680134818
307,saint-joseph,-21.3667,55.6167,22.48,78,47,3.69,RE,1680135116
308,vredendal,-31.6683,18.5012,15.65,63,56,3.52,ZA,1680135117
309,sao jose de ribamar,-2.5619,-44.0542,25.94,83,96,3.16,BR,1680135118
310,leningradskiy,69.3833,178.4167,-10.43,90,100,6.7,RU,1680135118
311,vao,-22.6667,167.4833,24.85,75,77,3.55,NC,1680135119
312,isangel,-19.55,169.2667,28.52,69,80,2.71,VU,1680135119
313,verkhnevilyuysk,63.4453,120.3167,-12.05,95,100,3.86,RU,1680135120
314,kropotkin,45.4375,40.5756,1.32,98,100,8.05,RU,1680135121
315,belmonte,-15.8631,-38.8828,24.76,74,8,3.39,BR,1680135122
316,kalmunai,7.4167,81.8167,23.51,84,18,0.76,LK,1680135123
317,xuddur,4.1213,43.8894,25.43,67,58,3.92,SO,1680135124
318,sioux lookout,50.1001,-91.917,-5.92,85,100,4.83,CA,1680135125
319,pevek,69.7008,170.3133,-19.83,95,100,3.43,RU,1680135126
320,swellendam,-34.0226,20.4417,13.61,76,58,0.87,ZA,1680135127
321,hofn,64.2539,-15.2082,3.03,97,100,10.76,IS,1680135128
322,sao paulo de olivenca,-3.3783,-68.8725,23.07,97,62,0.63,BR,1680135129
323,san lorenzo,-25.3333,-57.5333,28.23,58,23,2.66,PY,1680134914
324,songea,-10.6833,35.65,16.46,98,88,0.37,TZ,1680135130
325,nykoping,58.753,17.0079,-3.08,93,75,2.06,SE,1680135131
326,ananas,19.2466,-71.9557,21.28,76,1,2.46,HT,1680135132
327,xichang,27.8964,102.2634,11.15,76,78,0.54,CN,1680135134
328,uttarkashi,30.7333,78.45,13.3,43,97,2.86,IN,1680135134
329,khartoum,15.5518,32.5324,25.57,13,68,5.59,SD,1680135026
330,perth,-31.9333,115.8333,21.13,60,0,8.75,AU,1680134414
331,alamosa,37.4695,-105.87,12.99,19,0,7.2,US,1680135137
332,sitka,57.0531,-135.33,6.94,61,0,9.26,US,1680135137
333,isiro,2.7739,27.616,19.03,90,100,0.51,CD,1680135138
334,comodoro rivadavia,-45.8667,-67.5,12.92,35,0,7.72,AR,1680135066
335,thongwa,16.7619,96.5278,25.09,74,27,1.55,MM,1680135139
336,rovenki,48.0833,39.3776,1.74,95,100,6.59,UA,1680135141
337,tiznit,29.5833,-9.5,23.87,16,0,1.43,MA,1680135141
338,katherine,-14.4667,132.2667,29.18,65,88,2.57,AU,1680135142
339,kyaikto,17.3,97.0167,24.27,71,20,1.23,MM,1680135143
340,mount gambier,-37.8333,140.7667,16.21,67,53,4.36,AU,1680135144
341,utinga,-5.8172,-35.3954,24.73,88,23,2.54,BR,1680135144
342,abu samrah,35.3029,37.1841,9.17,68,40,7.9,SY,1680135145
343,bam,29.106,58.357,17.85,38,1,1.23,IR,1680135146
344,farafangana,-22.8167,47.8333,23.09,80,99,2.33,MG,1680135146
345,asau,46.4333,26.4,-0.4,80,62,2.49,RO,1680135147
346,republic,37.12,-93.4802,16.98,41,0,2.06,US,1680135147
